name,parent,myKey,geoLocation_lat,geoLocation_lon
(1903) Harrison's jams and jellies display - First Order of Merit Prize at the National Agricultural & Industrial Association of Queensland 28th Show 1903.,Brisbane,103,,
(n.d.) Brisbane City - corner Queen Street and Albert Street.,Brisbane,103,,
(n.d.) Brisbane Corner Queen and Eagle Street/s.,Brisbane,103,,
(n.d.) Brisbane River - Victoria Bridge looking North West.,Brisbane,103,,
(n.d.) Brisbane: Parliament House cnr William Street and Alice Street - looking South.,Brisbane,103,,
(n.d.) City Electric Light Employees (Frederick Robert L'Estrange is in the centre of the front row).,Brisbane,103,,
"(n.d.) Cnoc Rhu (Housename, Irish for Red Hill), 65 Victoria Street, Red Hill, Brisbane, Queensland.",Brisbane,103,,
"(n.d.) Customs House, Brisbane.",Brisbane,103,,
(n.d.) Football team - QARL Toowong 4th Grade.,Brisbane,103,,
(n.d.) Jeweller's workshop.,Brisbane,103,,
"(n.d.) Laying Electrical Mains - Wynnum Road, Norman Park (old shop is #101 Wynnum Road).",Brisbane,103,,
(n.d.) Parliament House (Brisbane) cnr. George Street & Alice Street - Bellvue Hotel on right.,Brisbane,103,,
"(n.d.) Queen street (Brisbane), Customs House in background Brisbane.",Brisbane,103,,
(n.d.) Rear view of Queenslander house - unknown location.,Brisbane,103,,
(n.d.) Treasury Building - Brisbane.,Brisbane,103,,
"(n.d.) Unknown woman at ""Cnoc Rhu"", Victoria Street, Red Hill.",Brisbane,103,,
(n.d.) Young lady at Cnoc Rhu (Red Hill) house circa 1900.,Brisbane,103,,
Coomera Region Originals,RAH L'Estrange - Originals,,,
Image - 1/9,Coomera Region Originals,103,,
Image - 2/9,Coomera Region Originals,103,,
Image - 3/9,Coomera Region Originals,103,,
Image - 4/9,Coomera Region Originals,103,,
Image - 5/9,Coomera Region Originals,103,,
Image - 6/9,Coomera Region Originals,103,,
Image - 7/9,Coomera Region Originals,103,,
Image - 8/9,Coomera Region Originals,103,,
Image - 9/9,Coomera Region Originals,103,,
England Originals,RAH L'Estrange - Originals,,,
Image - 1/4,England Originals,103,,
Image - 2/4,England Originals,103,,
Image - 3/4,England Originals,103,,
Image - 4/4,England Originals,103,,
European Originals,RAH L'Estrange - Originals,,,
Image - 1/11,European Originals,103,,
Image - 2/11,European Originals,103,,
Image - 3/11,European Originals,103,,
Image - 4/11,European Originals,103,,
Image - 5/11,European Originals,103,,
Image - 6/11,European Originals,103,,
Image - 7/11,European Originals,103,,
Image - 8/11,European Originals,103,,
Image - 9/11,European Originals,103,,
Image - 10/11,European Originals,103,,
Image - 11/11,European Originals,103,,
Family Photographs - 2,RAH L'Estrange - Originals,,,
Image - 1/11,Family Photographs - 2,103,,
Image - 2/11,Family Photographs - 2,103,,
Image - 3/11,Family Photographs - 2,103,,
Image - 4/11,Family Photographs - 2,103,,
Image - 5/11,Family Photographs - 2,103,,
Image - 6/11,Family Photographs - 2,103,,
Image - 7/11,Family Photographs - 2,103,,
Image - 8/11,Family Photographs - 2,103,,
Image - 9/11,Family Photographs - 2,103,,
Image - 10/11,Family Photographs - 2,103,,
Image - 11/11,Family Photographs - 2,103,,
France Originals,RAH L'Estrange - Originals,,,
Image - 1/1,France Originals,,,
Gold Coast Originals,RAH L'Estrange - Originals,,,
Image - 1/1,Gold Coast Originals,,,
Gold Coast Hinterland Originals,RAH L'Estrange - Originals,,,
Image - 1/2,Gold Coast Hinterland Originals,103,,
Image - 2/2,Gold Coast Hinterland Originals,103,,
Gympie Originals,RAH L'Estrange - Originals,,,
Image - 1/1,Gympie Originals,,,
Ireland Originals,RAH L'Estrange - Originals,,,
